country,n_samples,n_positives,positive_rate,pr_auc,p_at_top5pct
SAU,182,2,0.011,0.5185,0.1
COL,182,2,0.011,0.5169,0.1
PAK,182,4,0.022,0.4393,0.2
NER,182,10,0.0549,0.4393,0.4
TCD,182,18,0.0989,0.4367,0.5
GIN,182,13,0.0714,0.402,0.4
EGY,182,14,0.0769,0.3832,0.5
CAF,182,11,0.0604,0.3354,0.3
SOM,182,11,0.0604,0.3314,0.4
LBN,182,6,0.033,0.3233,0.3
MLI,182,6,0.033,0.3136,0.3
TUR,182,14,0.0769,0.302,0.3
UGA,182,17,0.0934,0.2816,0.3
DZA,182,10,0.0549,0.2812,0.3
RUS,182,14,0.0769,0.2735,0.3
COD,182,10,0.0549,0.2706,0.2
ZWE,182,10,0.0549,0.2695,0.3
SSD,182,8,0.044,0.2666,0.3
LBY,182,12,0.0659,0.2631,0.3
ETH,182,6,0.033,0.2481,0.2
IRN,182,9,0.0495,0.2443,0.3
BFA,182,8,0.044,0.234,0.2
VEN,182,5,0.0275,0.2326,0.1
PHL,182,6,0.033,0.225,0.3
KGZ,182,6,0.033,0.2197,0.2
IDN,182,11,0.0604,0.2115,0.2
NGA,182,3,0.0165,0.211,0.1
THA,182,15,0.0824,0.2052,0.2
ARM,182,7,0.0385,0.1965,0.3
TGO,182,16,0.0879,0.195,0.2
CIV,182,9,0.0495,0.1857,0.2
MOZ,182,12,0.0659,0.1764,0.1
CMR,182,9,0.0495,0.1606,0.1
GTM,182,6,0.033,0.1461,0.2
IRQ,182,3,0.0165,0.1427,0.1
TUN,182,4,0.022,0.1372,0.1
HTI,182,11,0.0604,0.137,0.2
AZE,182,9,0.0495,0.1359,0.2
ISR,182,15,0.0824,0.1358,0.0
ERI,182,2,0.011,0.1347,0.1
PSE,182,4,0.022,0.1205,0.0
YEM,182,6,0.033,0.1045,0.1
MDG,182,6,0.033,0.0905,0.0
SEN,182,8,0.044,0.0765,0.0
UKR,182,11,0.0604,0.0675,0.0
KEN,182,4,0.022,0.0672,0.1
HND,182,5,0.0275,0.0642,0.0
BGD,182,6,0.033,0.0457,0.0
SYR,182,3,0.0165,0.0455,0.0
AFG,182,3,0.0165,0.0331,0.0
SDN,182,2,0.011,0.0289,0.0
GNB,182,2,0.011,0.0252,0.0
IND,182,3,0.0165,0.0244,0.0
ECU,182,1,0.0055,0.0118,0.0
MMR,182,2,0.011,0.0115,0.0
MEX,182,0,0.0,,0.0
SLE,182,0,0.0,,0.0
TJK,182,0,0.0,,0.0
