feature,importance_gain
macis_se_score,72039.66999435425
country,62912.43279457092
acled_fatalities_7d,52040.727712631226
acled_fatalities_max_7d,20844.679718017578
econ_vix_pct_7d,17886.50651550293
econ_dxy_pct_7d,15855.342681884766
econ_wti_pct_7d,15288.316679000854
gdelt_quadclass_2_ratio,14946.358787536621
econ_vix,14370.536478042603
econ_dxy,14229.303617477417
econ_gold,13947.394344329834
econ_gold_pct_7d,13894.65129852295
gdelt_tone_mean_7d,12892.315586090088
econ_wti,12266.641338348389
gdelt_goldstein_std_7d,12046.455801010132
gdelt_quadclass_3_ratio,11731.141708374023
gdelt_goldstein_mean_7d,11576.957328796387
econ_stlfsi4_pct_7d,11303.802509307861
econ_stlfsi4,10911.40440750122
gdelt_quadclass_1_ratio,10731.56192779541
gdelt_goldstein_std_14d,10578.76391029358
econ_dxy_pct_1d,10530.551504135132
gdelt_goldstein_mean_14d,10486.221502304077
gdelt_tone_mean_14d,10187.952295303345
gdelt_goldstein_mean_30d,10164.905536651611
acled_actor_type_1_ratio,9994.18696975708
gdelt_mentions_sum_7d,9948.737007141113
econ_wti_pct_1d,9842.693395614624
econ_gold_pct_1d,9548.42261505127
econ_vix_pct_1d,9463.809894561768
