feature,importance_gain
country,71100.97095489502
tf_ratio30_acled_fatalities,43672.88017654419
macis_se_score,40322.61094093323
tf_ix_se_z_acled_event_count,16945.078567504883
tf_diff30_acled_fatalities,11751.04386138916
tf_ix_se_z_acled_fatalities,11597.447387695312
tf_z90_acled_fatalities_max,10153.348899841309
tf_z90_acled_event_count,9789.92477798462
tf_ratio14_acled_fatalities,9436.078895568848
econ_stlfsi4_pct_7d,8351.369968414307
tf_ratio30_gdelt_tone_mean,8098.802444458008
tf_mom3_gdelt_goldstein_mean,8034.840301513672
econ_wti_pct_7d,7755.562984466553
gdelt_quadclass_2_ratio,7499.473068237305
tf_z90_gdelt_tone_mean,7255.624904632568
acled_fatalities_14d,6765.560871124268
tf_z90_acled_fatalities,6610.75256729126
tf_mom3_acled_fatalities_max,6586.858982086182
tf_ix_se_d30_gdelt_tone_mean,6575.835506439209
tf_ratio30_gdelt_goldstein_std,6555.749324798584
tf_ratio14_gdelt_goldstein_std,6517.522747039795
tf_mom3_gdelt_goldstein_std,6269.312049865723
tf_ratio30_acled_fatalities_max,6268.468097686768
econ_dxy_pct_7d,6213.876396179199
tf_ratio30_gdelt_goldstein_mean,6210.451908111572
tf_mom3_gdelt_tone_mean,6018.662433624268
tf_ratio14_gdelt_tone_mean,5948.820625305176
tf_diff14_gdelt_goldstein_mean,5944.354763031006
tf_z90_gdelt_goldstein_mean,5927.752826690674
tf_ratio30_acled_event_count,5857.631286621094
