feature_set,n_features,pr_auc,p_at_top5pct,r_at_p010,r_at_p020,r_at_p030,ece,best_iteration
full_with_se,56,0.1627867585966443,0.22537878787878787,0.6209302325581395,0.32558139534883723,0.11162790697674418,0.18294323990729588,112
no_se,55,0.11728637691667136,0.14772727272727273,0.4418604651162791,0.04883720930232558,0.030232558139534883,0.23137434260194378,38
no_country,55,0.15149067868167718,0.20265151515151514,0.6116279069767442,0.24883720930232558,0.08604651162790698,0.21286682949971925,97
no_se_no_country,54,0.09966297432136398,0.13068181818181818,0.27674418604651163,0.07441860465116279,0.01627906976744186,0.2615923941641774,50
se_only,1,0.05533369716163514,0.07196969696969698,0.0,0.0,0.0,0.07650336402891299,3
country_only,1,0.06150476067452457,0.07765151515151515,0.0,0.0,0.0,0.42677674268037885,81
acled_only,20,0.09102503275155185,0.13636363636363635,0.3813953488372093,0.011627906976744186,0.004651162790697674,0.17507706730086525,13
gdelt_only,19,0.05927584114843656,0.06439393939393939,0.01627906976744186,0.0069767441860465115,0.0069767441860465115,0.25008228395640625,111
econ_only,15,0.04514922681643184,0.04734848484848485,0.0,0.0,0.0,0.22058217762371923,11
acled_gdelt_only,39,0.10320971288258604,0.12310606060606061,0.3116279069767442,0.06511627906976744,0.03953488372093023,0.2550697093416954,65
acled_gdelt_se,40,0.15149512313987912,0.19507575757575757,0.5953488372093023,0.19767441860465115,0.05581395348837209,0.1960904165601415,135
acled_gdelt_econ_se_no_country,55,0.1504333112698695,0.21401515151515152,0.6093023255813953,0.30697674418604654,0.053488372093023255,0.2142964774393377,97
